Command	INDEX_TABLE				
Title	破产指数表				
Column/Name	破产指数@2016/12/31	Y2016			
Scope0	and corpId in ('600309','600315','002450','600585','000869','600129','601088','600600','600660','603630','000651','000333','600664','600276','300498','000848')				
Scope1	and corpId in ('600664','600276','601607','000538','600129','300498')				
Data					
CORP	NAME	Y2016			
000633	合金投资	32.37			
000635	英 力 特	78.54			
000636	风华高科	24.33			
000637	茂化实华	69.92			
000638	万方发展	26.00			
000639	西王食品	15.04			
000650	仁和药业	77.70			
000651	格力电器	13.06			
000652	泰达股份	3.49			
000655	金岭矿业	77.81			
000656	金科股份	6.04			
000657	中钨高新	17.15			
000659	*ST中富	13.34			
000661	长春高新	84.61			
000662	天夏智慧	132.68			
000663	永安林业	14.15			
000665	湖北广电	21.41			
000666	经纬纺机	7.13			
000667	美好置业	9.16			
000668	荣丰控股	17.66			
000669	金鸿能源	5.66			
000670	盈方微	107.93			
000671	阳 光 城	5.08			
000672	上峰水泥	10.89			
000673	当代东方	108.75			
000676	智度股份	54.64			
000677	恒天海龙	134.98			
000678	襄阳轴承	20.77			
000679	大连友谊	5.59			
000680	山推股份	8.23			
000681	视觉中国	8.23			
000682	东方电子	27.44			
000683	远兴能源	4.41			
000685	中山公用	31.67			
000686	东北证券	2.88			
000687	华讯方舟	31.51			
000688	建新矿业	298.84			
000690	宝新能源	14.28			
000691	ST亚太	54.83			
000692	惠天热电	5.50			
000693	*ST华泽	16.99			
000695	滨海能源	20.77			
000697	炼石有色	515.66			
000698	沈阳化工	5.74			
000700	模塑科技	12.45			
000701	厦门信达	4.57			
000702	正虹科技	125.32			
000703	恒逸石化	10.18			
000705	浙江震元	34.09			
000706	瓦轴B				
000707	双环科技	0.22			
000708	大冶特钢	19.10			
000709	河钢股份	0.36			
000710	*ST天仪	151.71			
000711	京蓝科技	32.88			
000712	锦龙股份	6.41			
000713	丰乐种业	26.23			
000715	中兴商业	25.45			
000716	黑芝麻	27.32			
000717	韶钢松山	-0.15			
000718	苏宁环球	12.42			
000719	大地传媒	23.37			
000720	新能泰山	5.47			
000721	西安饮食	67.83			
000722	湖南发展	186.55			
000723	美锦能源	42.59			
000725	京东方Ａ	9.83			
000726	鲁  泰Ａ	38.94			
000727	华东科技	5.43			
000728	国元证券	3.48			
000729	燕京啤酒	29.02			
000731	四川美丰	14.12			
000732	泰禾集团	4.94			
000733	振华科技	14.18			
000735	罗 牛 山	19.98			
000736	中房地产	5.54			
000737	南风化工	4.89			
000738	航发控制	92.42			
000739	普洛药业	19.86			
000750	国海证券	3.01			
000751	锌业股份	22.60			
000752	西藏发展	164.07			
000753	漳州发展	11.97			
000755	*ST三维	0.00			
000756	新华制药	15.83			
000757	浩物股份	51.76			
000758	中色股份	5.88			
000759	中百集团	5.38			
000760	斯太尔	47.10			
000761	本钢板材	1.45			
000762	西藏矿业	120.41			
000766	通化金马	97.44			
000767	漳泽电力	1.24			
000768	中航飞机	17.40			
000771	杭汽轮Ｂ				
000776	广发证券	3.33			
000777	中核科技	84.41			
000778	新兴铸管	5.83			
000779	三毛派神	30.23			
000780	*ST平能	25.85			
000782	美达股份	25.22			
000783	长江证券	4.39			
000785	武汉中商	9.12			
000786	北新建材	47.66			
000788	北大医药	52.79			
000789	万年青	7.85			
000790	泰合健康	63.94			
000791	甘肃电投	3.98			
000792	盐湖股份	3.13			
000793	华闻传媒	42.25			
000795	英洛华	90.99			
000796	凯撒旅游	19.56			
000797	中国武夷	9.90			
000798	中水渔业	61.45			
000799	酒鬼酒	84.62			
000800	一汽轿车	10.11			
000801	四川九洲	22.55			
000802	北京文化	86.62			
000803	*ST金宇	38.14			
000806	银河生物	126.45			
000807	云铝股份	3.81			
000809	*ST新城	11.70			
000810	创维数字	22.81			
000811	烟台冰轮	17.90			
000812	陕西金叶	40.05			
000813	德展健康	65.79			
000815	美利云	74.92			
000816	智慧农业	26.21			
000818	方大化工	149.22			
000819	岳阳兴长	251.03			
000820	神雾节能	51.90			
000821	京山轻机	50.30			
000822	山东海化	27.17			
000823	超声电子	36.90			
000825	太钢不锈	2.31			
000826	启迪桑德	13.20			
000828	东莞控股	22.54			
000829	天音控股	8.14			
000830	鲁西化工	1.87			
000831	五矿稀土	606.87			
000833	贵糖股份	43.79			
000835	长城动漫	18.94			
000836	鑫茂科技	76.96			
000837	秦川机床	8.95			
000838	财信发展	17.06			
000839	中信国安	29.62			
000848	承德露露	63.78			
000850	华茂股份	11.15			
000851	高鸿股份	9.74			
000852	石化机械	13.19			
000856	冀东装备	40.72			
000858	五 粮 液	104.74			
000859	国风塑业	41.12			
000860	顺鑫农业	9.13			
000861	海印股份	10.51			
000862	银星能源	5.80			
000863	三湘印象	10.27			
000868	安凯客车	3.73			
000869	张  裕Ａ	55.72			
000875	吉电股份	2.16			
000876	新 希 望	20.35			
000877	天山股份	4.45			
000878	云南铜业	5.73			
