Command	INDEX_TABLE				
Title	破产指数表				
Column/Name	破产指数@2016/12/31	Y2016			
Scope0	and corpId in ('600309','600315','002450','600585','000869','600129','601088','600600','600660','603630','000651','000333','600664','600276','300498','000848')				
Scope1	and corpId in ('600664','600276','601607','000538','600129','300498')				
Data					
CORP	NAME	Y2016			
002452	长高集团	18.61			
002453	天马精化	31.26			
002454	松芝股份	22.57			
002455	百川股份	28.66			
002456	欧菲光	8.41			
002457	青龙管业	37.28			
002458	益生股份	109.76			
002459	天业通联	436.09			
002460	赣锋锂业	162.66			
002461	珠江啤酒	18.07			
002462	嘉事堂	17.03			
002463	沪电股份	27.62			
002464	金利科技	44.25			
002465	海格通信	44.72			
002466	天齐锂业	63.02			
002467	二六三	54.87			
002468	申通快递	32.02			
002469	三维工程	101.63			
002470	金正大	31.61			
002471	中超控股	8.48			
002472	双环传动	55.38			
002473	*ST圣莱	211.97			
002474	榕基软件	66.44			
002475	立讯精密	46.95			
002476	宝莫股份	76.54			
002477	雏鹰农牧	11.92			
002478	常宝股份	24.67			
002479	富春环保	31.90			
002480	新筑股份	16.21			
002481	双塔食品	33.11			
002482	广田集团	12.22			
002483	润邦股份	11.81			
002484	江海股份	102.33			
002485	希努尔	110.67			
002486	嘉麟杰	70.65			
002487	大金重工	29.55			
002488	金固股份	13.79			
002489	浙江永强	31.58			
002490	*ST墨龙	4.34			
002491	通鼎互联	28.88			
002492	恒基达鑫	50.37			
002493	荣盛石化	5.91			
002494	华斯股份	84.46			
002495	佳隆股份	469.94			
002496	辉丰股份	14.94			
002497	雅化集团	94.67			
002498	汉缆股份	44.02			
002499	科林环保	125.19			
002500	山西证券	5.16			
002501	利源精制	7.58			
002502	骅威文化	132.75			
002503	搜于特	42.01			
002504	*ST弘高	2.30			
002505	大康农业	12.73			
002506	协鑫集成	9.61			
002507	涪陵榨菜	112.26			
002508	老板电器	97.56			
002509	天广中茂	36.38			
002510	天汽模	17.71			
002511	中顺洁柔	25.27			
002512	达华智能	34.02			
002513	蓝丰生化	24.12			
002514	宝馨科技	58.37			
002515	金字火腿	525.88			
002516	旷达科技	18.03			
002517	恺英网络	33.38			
002518	科士达	56.61			
002519	银河电子	31.74			
002520	日发精机	58.81			
002521	齐峰新材	43.86			
002522	浙江众成	200.63			
002523	天桥起重	31.59			
002524	光正集团	26.69			
002526	山东矿机	32.49			
002527	新时达	26.98			
002528	英飞拓	36.11			
002529	海源机械	87.78			
002530	金财互联	163.17			
002531	天顺风能	27.97			
002532	新界泵业	21.14			
002533	金杯电工	44.40			
002534	杭锅股份	10.01			
002535	林州重机	7.93			
002536	西泵股份	28.22			
002537	海立美达	7.58			
002538	司尔特	32.18			
002539	云图控股	8.30			
002540	亚太科技	150.08			
002541	鸿路钢构	12.77			
002542	中化岩土	69.73			
002543	万和电气	38.00			
002544	杰赛科技	33.85			
002545	东方铁塔	27.11			
002546	新联电子	111.24			
002547	春兴精工	23.01			
002548	金新农	21.99			
002549	凯美特气	128.18			
002550	千红制药	88.00			
002551	尚荣医疗	27.69			
002552	宝鼎科技	61.43			
002553	南方轴承	431.05			
002554	惠博普	19.86			
002555	三七互娱	220.81			
002556	辉隆股份	8.52			
002557	洽洽食品	43.20			
002558	巨人网络	427.44			
002559	亚威股份	48.51			
002560	通达股份	30.62			
002561	徐家汇	82.73			
002562	兄弟科技	76.46			
002563	森马服饰	57.83			
002564	天沃科技	4.20			
002565	顺灏股份	26.27			
002566	益盛药业	32.56			
002567	唐人神	19.59			
002568	百润股份	123.90			
002569	步森股份	492.66			
002570	贝因美	31.67			
002571	*ST德力	37.01			
002572	索菲亚	92.07			
002573	清新环境	19.56			
002574	明牌珠宝	19.27			
002575	群兴玩具	2190.50			
002576	通达动力	218.83			
002577	雷柏科技	271.63			
002578	闽发铝业	63.76			
002579	中京电子	45.48			
002580	圣阳股份	16.58			
002581	未名医药	201.06			
002582	好想你	13.33			
002583	海能达	88.01			
002584	西陇科学	100.64			
002585	双星新材	39.28			
002586	围海股份	12.56			
002587	奥拓电子	57.91			
002588	史丹利	25.29			
002589	瑞康医药	10.41			
002590	万安科技	34.39			
002591	恒大高新	137.77			
002592	八菱科技	134.92			
002593	日上集团	16.37			
002594	比亚迪	11.04			
002595	豪迈科技	307.65			
002596	海南瑞泽	12.92			
002597	金禾实业	48.64			
002598	山东章鼓	83.18			
002599	盛通股份	20.02			
002600	江粉磁材	13.14			
002601	龙蟒佰利	40.43			
002602	世纪华通	230.17			
002603	以岭药业	140.01			
002604	龙力生物	32.35			
002605	姚记扑克	87.87			
002606	大连电瓷	57.85			
002607	亚夏汽车	6.13			
002608	江苏国信	10.70			
002609	捷顺科技	188.84			
002610	爱康科技	6.87			
002611	东方精工	43.51			
002612	朗姿股份	33.53			
002613	北玻股份	76.07			
002614	奥佳华	36.52			
002615	哈尔斯	29.54			
002616	长青集团	26.19			
002617	露笑科技	77.26			
002618	丹邦科技	62.51			
002619	巨龙管业	76.38			
002620	瑞和股份	28.27			
002621	三垒股份	1152.79			
002622	融钰集团	707.82			
002623	亚玛顿	15.43			
002624	完美世界	45.46			
002625	龙生股份	538.05			
002626	金达威	59.58			
002627	宜昌交运	13.09			
002628	成都路桥	12.14			
002629	仁智股份	250.87			
002630	华西能源	9.39			
002631	德尔未来	145.48			
002632	道明光学	207.41			
002633	申科股份	199.27			
002634	棒杰股份	135.07			
002635	安洁科技	138.07			
002636	金安国纪	54.69			
002637	赞宇科技	13.02			
002638	勤上股份	43.55			
002639	雪人股份	40.87			
002640	跨境通	68.15			
002641	永高股份	18.34			
002642	荣之联	127.79			
002643	万润股份	82.54			
002644	佛慈制药	46.92			
002645	华宏科技	97.37			
002646	青青稞酒	78.07			
002647	民盛金科	50.05			
002648	卫星石化	20.18			
002649	博彦科技	19.44			
002650	加加食品	51.08			
002651	利君股份	114.80			
002652	扬子新材	12.01			
002653	海思科	68.34			
002654	万润科技	47.58			
002655	共达电声	36.56			
002656	摩登大道	44.34			
002657	中科金财	83.75			
002658	雪迪龙	298.60			
002659	中泰桥梁	39.44			
002660	茂硕电源	14.54			
002661	克明面业	103.29			
002662	京威股份	11.52			
002663	普邦股份	22.88			
002664	信质电机	82.27			
002665	首航节能	74.36			
002666	德联集团	55.38			
002667	鞍重股份	171.83			
002668	奥马电器	8.84			
002669	康达新材	248.81			
002670	国盛金控	9.35			
002671	龙泉股份	30.65			
002672	东江环保	23.95			
002673	西部证券	6.46			
002674	兴业科技	81.41			
002675	东诚药业	58.88			
002676	顺威股份	63.05			
002677	浙江美大	255.22			
002678	珠江钢琴	92.35			
002679	福建金森	29.79			
002680	长生生物	214.19			
002681	奋达科技	82.06			
002682	龙洲股份	9.63			
002683	宏大爆破	18.46			
002684	猛狮科技	16.21			
002685	华东重机	72.70			
002686	亿利达	68.27			
002687	乔治白	55.72			
002688	金河生物	33.63			
002689	远大智能	38.55			
002690	美亚光电	302.42			
002691	冀凯股份	456.72			
002692	睿康股份	35.46			
002693	双成药业	28.28			
002694	顾地科技	41.12			
002695	煌上煌	257.26			
002696	百洋股份	30.68			
002697	红旗连锁	32.52			
002698	博实股份	165.77			
002699	美盛文化	293.25			
002700	新疆浩源	190.94			
002701	奥瑞金	12.30			
002702	海欣食品	42.81			
002703	浙江世宝	95.11			
002705	新宝股份	21.90			
002706	良信电器	63.92			
002707	众信旅游	35.20			
002708	光洋股份	32.51			
002709	天赐材料	126.58			
002711	欧浦智网	58.13			
002712	思美传媒	47.43			
002713	东易日盛	23.35			
002714	牧原股份	25.28			
002715	登云股份	80.41			
002716	金贵银业	12.84			
002717	岭南园林	29.52			
002718	友邦吊顶	279.18			
002719	麦趣尔	116.40			
002721	金一文化	10.05			
002722	金轮股份	63.84			
002723	金莱特	59.45			
002724	海洋王	227.14			
002725	跃岭股份	151.02			
002726	龙大肉食	127.26			
002727	一心堂	20.39			
002728	特一药业	40.22			
002729	好利来	1054.63			
002730	电光科技	74.25			
002731	萃华珠宝	17.89			
002732	燕塘乳业	111.66			
002733	雄韬股份	43.27			
002734	利民股份	72.18			
002735	王子新材	175.52			
002736	国信证券	5.26			
002737	葵花药业	45.27			
002738	中矿资源	82.39			
002739	万达电影	53.22			
002740	爱迪尔	50.21			
002741	光华科技	182.32			
002742	三圣股份	27.73			
002743	富煌钢构	10.80			
002745	木林森	13.58			
002746	仙坛股份	94.93			
002747	埃斯顿	57.82			
002748	世龙实业	181.83			
002749	国光股份	340.29			
002750	龙津药业	354.57			
002751	易尚展示	25.35			
002752	昇兴股份	48.39			
002753	永东股份	110.44			
002755	东方新星	136.61			
002756	永兴特钢	176.63			
002757	南兴装备	141.56			
002758	华通医药	28.87			
002759	天际股份	465.28			
002760	凤形股份	40.83			
002761	多喜爱	87.04			
002762	金发拉比	444.06			
002763	汇洁股份	134.27			
002765	蓝黛传动	17.13			
002766	索菱股份	50.72			
002767	先锋电子	278.30			
002768	国恩股份	47.19			
002769	普路通	3.47			
002770	科迪乳业	19.45			
002771	真视通	78.13			
002772	众兴菌业	39.47			
002773	康弘药业	241.92			
002774	快意电梯	58.61			
002775	文科园林	40.66			
002776	柏堡龙	209.81			
002777	久远银海	66.69			
002778	高科石化	164.44			
002779	中坚科技	151.17			
002780	三夫户外	149.85			
002781	奇信股份	26.16			
002782	可立克	279.84			
002783	凯龙股份	42.59			
002785	万里石	56.63			
002786	银宝山新	21.57			
002787	华源控股	74.56			
002788	鹭燕医药	17.05			
002789	建艺集团	16.36			
002790	瑞尔特	230.27			
002791	坚朗五金	67.18			
002792	通宇通讯	70.88			
002793	东音股份	143.31			
002795	永和智控	199.40			
002796	世嘉科技	131.35			
002797	第一创业	6.23			
002798	帝王洁具	329.49			
002799	环球印务	115.55			
002800	天顺股份	85.73			
002801	微光股份	177.44			
002802	洪汇新材	916.74			
002803	吉宏股份	96.05			
002805	丰元股份	775.56			
002806	华锋股份	79.43			
002807	江阴银行	1.75			
002808	苏州恒久	297.62			
002809	红墙股份	196.51			
002810	山东赫达	75.87			
002811	亚泰国际	31.97			
002812	创新股份	220.87			
002813	路畅科技	48.98			
002815	崇达技术	69.45			
002816	和科达	146.00			
002817	黄山胶囊	317.72			
002818	富森美	112.19			
002819	东方中科	381.11			
002820	桂发祥	478.77			
002821	凯莱英	95.65			
002822	中装建设	21.84			
002823	凯中精密	35.71			
002824	和胜股份	107.64			
002825	纳尔股份	165.52			
002826	易明医药	316.19			
002827	高争民爆	184.27			
002828	贝肯能源	70.43			
002829	星网宇达	106.40			
002830	名雕股份	38.97			
002831	裕同科技	63.39			
002832	比音勒芬	206.89			
002833	弘亚数控	452.62			
002835	同为股份	67.62			
002836	新宏泽	138.64			
002837	英维克	56.09			
002838	道恩股份	144.64			
002839	张家港行	2.29			
002840	华统股份	40.84			
002841	视源股份	116.05			
002842	翔鹭钨业	77.40			
002843	泰嘉股份	414.81			
002845	同兴达	22.06			
002846	英联股份	322.42			
002847	盐津铺子	86.80			
002848	高斯贝尔	43.81			
002849	威星智能	93.60			
002850	科达利	88.57			
002851	麦格米特	53.23			
002852	道道全	77.12			
002853	皮阿诺	88.35			
002855	捷荣技术	27.66			
002856	美芝股份	23.69			
002857	三晖电气	167.01			
002858	力盛赛车	374.83			
002859	洁美科技	61.33			
002860	星帅尔	238.93			
002861	瀛通通讯	160.91			
002862	实丰文化	336.76			
002863	今飞凯达	6.79			
002865	钧达股份	18.77			
002866	传艺科技	168.66			
002867	周大生	115.47			
002868	绿康生化	179.64			
002869	金溢科技	64.90			
002870	香山股份	122.02			
002871	伟隆股份	159.16			
002872	天圣制药	28.22			
002873	新天药业	59.12			
002875	安奈儿	83.35			
002876	三利谱	22.20			
002877	智能自控				
002878	元隆雅图				
002880	卫光生物				
300001	特锐德	13.27			
300002	神州泰岳	57.79			
300003	乐普医疗	75.08			
300004	南风股份	59.64			
300005	探路者	68.34			
300006	莱美药业	41.88			
300007	汉威电子	19.00			
300008	天海防务	24.32			
300009	安科生物	111.59			
300010	立思辰	36.87			
300011	鼎汉技术	51.17			
300012	华测检测	88.08			
300013	新宁物流	46.64			
300014	亿纬锂能	21.85			
300015	爱尔眼科	136.05			
300016	北陆药业	606.26			
300017	网宿科技	53.21			
300018	中元股份	229.13			
300019	硅宝科技	127.58			
300020	银江股份	27.36			
300021	大禹节水	20.18			
300022	吉峰农机	9.73			
300023	宝德股份	2.93			
300024	机器人	140.76			
300025	华星创业	12.11			
300026	红日药业	75.90			
300027	华谊兄弟	16.89			
300028	金亚科技	123.68			
300029	天龙光电	24.28			
300030	阳普医疗	48.14			
300031	宝通科技	123.54			
300032	金龙机电	46.16			
300033	同花顺	194.58			
300034	钢研高纳	117.37			
300035	中科电气	78.25			
300036	超图软件	90.35			
300037	新宙邦	50.04			
300038	梅泰诺	29.93			
300039	上海凯宝	129.72			
300040	九洲电气	24.89			
300041	回天新材	157.54			
300042	朗科科技	706.92			
300043	星辉娱乐	26.17			
300044	赛为智能	38.63			
300045	华力创通	151.07			
300046	台基股份	69.57			
300047	天源迪科	30.42			
300048	合康新能	14.77			
300049	福瑞股份	55.92			
300050	世纪鼎利	107.26			
300051	三五互联	66.98			
300052	中青宝	226.20			
300053	欧比特	108.34			
300054	鼎龙股份	66.32			
300055	万邦达	64.70			
300056	三维丝	21.98			
300057	万顺股份	24.72			
300058	蓝色光标	10.50			
300059	东方财富	22.90			
300061	康耐特	123.51			
300062	中能电气	15.96			
300063	天龙集团	31.81			
300064	豫金刚石	43.48			
300065	海兰信	171.14			
300066	三川智慧	193.50			
300067	安诺其	61.85			
300068	南都电源	35.17			
300069	金利华电	82.02			
300070	碧水源	27.20			
300071	华谊嘉信	17.48			
300072	三聚环保	27.09			
300073	当升科技	33.73			
300074	华平股份	106.00			
300075	数字政通	62.95			
300076	GQY视讯	300.48			
300077	国民技术	163.57			
300078	思创医惠	40.24			
300079	数码视讯	110.64			
300080	易成新能	10.48			
300081	恒信东方	293.76			
300082	奥克股份	15.13			
300083	劲胜精密	19.75			
300084	海默科技	45.86			
300085	银之杰	164.69			
300086	康芝药业	101.90			
300087	荃银高科	57.73			
300088	长信科技	35.67			
300089	文化长城	64.45			
300090	盛运环保	16.31			
300091	金通灵	28.31			
300092	科新机电	113.16			
300093	金刚玻璃	56.65			
300094	国联水产	32.67			
300095	华伍股份	38.49			
300096	易联众	63.58			
300097	智云股份	37.50			
300098	高新兴	86.88			
300099	精准信息	344.67			
300100	双林股份	24.61			
300101	振芯科技	220.80			
300102	乾照光电	51.19			
300103	达刚路机	189.92			
300104	乐视网	19.68			
300105	龙源技术	42.10			
300106	西部牧业	9.46			
300107	建新股份	965.75			
300108	双龙股份	47.10			
300109	新开源	641.17			
300110	华仁药业	32.29			
300111	向日葵	19.31			
300112	万讯自控	103.46			
300113	顺网科技	153.23			
300114	中航电测	74.53			
300115	长盈精密	43.87			
300116	坚瑞沃能	7.24			
300117	嘉寓股份	15.25			
300118	东方日升	12.20			
300119	瑞普生物	65.09			
300120	经纬电材	229.43			
300121	阳谷华泰	36.78			
300122	智飞生物	1094.52			
300123	太阳鸟	26.36			
300124	汇川技术	93.28			
300125	易世达	32.64			
300126	锐奇股份	70.59			
300127	银河磁体	436.17			
300128	锦富技术	18.42			
300129	泰胜风能	40.74			
300130	新国都	22.78			
300131	英唐智控	37.06			
300132	青松股份	263.29			
300133	华策影视	37.65			
300134	大富科技	65.40			
300135	宝利国际	21.78			
300136	信维通信	198.73			
300137	先河环保	216.79			
300138	晨光生物	36.19			
300139	晓程科技	174.63			
300140	中环装备	26.59			
300141	和顺电气	60.40			
300142	沃森生物	44.96			
300143	星河生物	155.77			
300144	宋城演艺	209.59			
300145	中金环境	23.50			
300146	汤臣倍健	188.73			
300147	香雪制药	10.47			
300148	天舟文化	176.61			
300149	量子高科	2370.47			
300150	世纪瑞尔	81.62			
300151	昌红科技	225.90			
300152	科融环境	27.07			
300153	科泰电源	76.54			
300154	瑞凌股份	118.56			
300155	安居宝	109.78			
300156	神雾环保	86.25			
300157	恒泰艾普	30.25			
300158	振东制药	36.10			
300159	新研股份	67.51			
300160	秀强股份	74.56			
300161	华中数控	25.27			
300162	雷曼股份	75.94			
300163	先锋新材	51.92			
300164	通源石油	46.25			
300165	天瑞仪器	49.21			
300166	东方国信	68.10			
300167	迪威视讯	45.31			
300168	万达信息	29.79			
300169	天晟新材	22.54			
300170	汉得信息	109.11			
300171	东富龙	46.32			
300172	中电环保	68.65			
300173	智慧松德	65.56			
300174	元力股份	60.78			
300175	朗源股份	65.74			
300176	鸿特精密	39.08			
300177	中海达	95.85			
300178	腾邦国际	16.92			
300179	四方达	188.10			
300180	华峰超纤	71.71			
300181	佐力药业	52.37			
300182	捷成股份	47.45			
300183	东软载波	257.25			
300184	力源信息	76.85			
300185	通裕重工	16.81			
300187	永清环保	35.23			
300188	美亚柏科	79.16			
300189	神农基因	21.95			
300190	维尔利	28.22			
300191	潜能恒信	575.33			
300192	科斯伍德	250.21			
300193	佳士科技	82.87			
300194	福安药业	44.34			
300195	长荣股份	33.34			
300196	长海股份	68.80			
300197	铁汉生态	22.68			
300198	纳川股份	56.87			
300199	翰宇药业	114.03			
300200	高盟新材	224.02			
300201	海伦哲	51.53			
300202	聚龙股份	88.22			
300203	聚光科技	38.58			
300204	舒泰神	118.80			
300205	天喻信息	56.66			
300206	理邦仪器	144.46			
300207	欣旺达	18.05			
300208	恒顺众昇	67.92			
300209	天泽信息	127.69			
300210	森远股份	41.16			
300211	亿通科技	220.89			
300212	易华录	20.08			
300213	佳讯飞鸿	27.67			
300214	日科化学	160.55			
300215	电科院	29.42			
300216	千山药机	23.03			
300217	东方电热	50.19			
300218	安利股份	20.25			
300219	鸿利智汇	41.37			
300220	金运激光	132.45			
300221	银禧科技	55.12			
300222	科大智能	82.82			
300223	北京君正	708.59			
300224	正海磁材	40.90			
300225	金力泰	182.13			
300226	上海钢联	10.17			
300227	光韵达	67.00			
300228	富瑞特装	16.40			
300229	拓尔思	106.00			
300230	永利股份	20.08			
300231	银信科技	82.76			
300232	洲明科技	57.62			
300233	金城医药	49.49			
300234	开尔新材	146.62			
300235	方直科技	881.65			
300236	上海新阳	178.06			
300237	美晨科技	29.60			
300238	冠昊生物	232.46			
300239	东宝生物	179.60			
300240	飞力达	32.20			
300241	瑞丰光电	26.38			
300242	明家联合	58.34			
300243	瑞丰高材	41.06			
300244	迪安诊断	36.72			
300245	天玑科技	113.49			
300246	宝莱特	152.43			
300247	乐金健康	73.68			
300248	新开普	58.06			
300249	依米康	31.12			
300250	初灵信息	151.71			
300251	光线传媒	83.70			
300252	金信诺	38.34			
300253	卫宁健康	47.44			
300254	仟源医药	42.01			
300255	常山药业	75.75			
300256	星星科技	9.94			
300257	开山股份	74.58			
300258	精锻科技	74.45			
300259	新天科技	141.56			
300260	新莱应材	29.65			
300261	雅本化学	38.38			
300262	巴安水务	32.54			
300263	隆华节能	58.07			
300264	佳创视讯	84.22			
300265	通光线缆	26.46			
300266	兴源环境	58.17			
300267	尔康制药	391.91			
300268	万福生科	1152.05			
300269	联建光电	40.48			
300270	中威电子	81.26			
300271	华宇软件	70.96			
300272	开能环保	14.26			
300273	和佳股份	35.17			
300274	阳光电源	20.97			
300275	梅安森	74.91			
300276	三丰智能	112.21			
300277	海联讯	110.58			
300278	华昌达	22.16			
300279	和晶科技	16.30			
300280	南通锻压	136.48			
300281	金明精机	70.70			
300282	汇冠股份	25.07			
300283	温州宏丰	32.07			
300284	苏交科	13.15			
300285	国瓷材料	84.11			
300286	安科瑞	120.39			
300287	飞利信	76.01			
300288	朗玛信息	367.37			
300289	利德曼	145.90			
300290	荣科科技	117.27			
300291	华录百纳	154.34			
300292	吴通控股	72.33			
300293	蓝英装备	53.04			
300294	博雅生物	260.29			
300295	三六五网	160.97			
300296	利亚德	29.78			
300297	蓝盾股份	34.36			
300298	三诺生物	192.31			
300299	富春股份	91.63			
300300	汉鼎宇佑	41.61			
300301	长方集团	24.39			
300302	同有科技	312.71			
300303	聚飞光电	23.11			
300304	云意电气	41.25			
300305	裕兴股份	271.11			
300306	远方光电	78.57			
300307	慈星股份	65.76			
300308	中际装备	671.13			
300309	吉艾科技	33.87			
300310	宜通世纪	43.10			
300311	任子行	88.71			
300312	邦讯技术	32.34			
300313	天山生物	37.01			
300314	戴维医疗	350.97			
300315	掌趣科技	86.90			
300316	晶盛机电	122.03			
300317	珈伟股份	11.79			
300318	博晖创新	68.01			
300319	麦捷科技	56.35			
300320	海达股份	96.01			
300321	同大股份	137.20			
300322	硕贝德	26.75			
300323	华灿光电	21.66			
300324	旋极信息	83.65			
300325	德威新材	23.93			
300326	凯利泰	119.50			
300327	中颖电子	359.68			
300328	宜安科技	81.36			
300329	海伦钢琴	163.63			
300330	华虹计通	128.49			
300331	苏大维格	69.00			
300332	天壕环境	16.53			
300333	兆日科技	677.92			
300334	津膜科技	51.38			
300335	迪森股份	32.46			
300336	新文化	40.24			
300337	银邦股份	48.31			
300338	开元股份	183.00			
300339	润和软件	20.71			
300340	科恒股份	37.91			
300341	麦迪电气	239.88			
300342	天银机电	142.14			
300343	联创互联	76.76			
300344	太空板业	36.45			
300345	红宇新材	99.56			
300346	南大光电	341.36			
300347	泰格医药	143.58			
300348	长亮科技	117.54			
300349	金卡智能	82.88			
300350	华鹏飞	30.54			
300351	永贵电器	116.67			
300352	北信源	133.76			
300353	东土科技	106.48			
300354	东华测试	435.76			
300355	蒙草生态	27.76			
300356	光一科技	15.52			
300357	我武生物	1085.80			
300358	楚天科技	37.87			
300359	全通教育	129.07			
300360	炬华科技	80.11			
300362	天翔环境	23.26			
300363	博腾股份	29.62			
300364	中文在线	235.38			
300365	恒华科技	162.72			
300366	创意信息	31.44			
300367	东方网力	66.32			
300368	汇金股份	125.33			
300369	绿盟科技	41.85			
300370	安控科技	15.98			
300371	汇中股份	438.51			
300372	欣泰电气				
300373	扬杰科技	136.09			
300374	恒通科技	71.34			
300375	鹏翎股份	87.31			
300376	易事特	8.09			
300377	赢时胜	216.28			
300378	鼎捷软件	51.56			
300379	东方通	97.76			
300380	安硕信息	132.03			
300381	溢多利	45.36			
300382	斯莱克	208.41			
300383	光环新网	27.45			
300384	三联虹普	102.41			
300385	雪浪环境	32.31			
300386	飞天诚信	239.86			
300387	富邦股份	35.85			
300388	国祯环保	11.32			
300389	艾比森	49.27			
300390	天华超净	108.20			
300391	康跃科技	47.33			
300392	腾信股份	49.24			
300393	中来股份	27.99			
300394	天孚通信	548.61			
300395	菲利华	89.22			
300396	迪瑞医疗	74.30			
300397	天和防务	96.54			
300398	飞凯材料	34.82			
300399	京天利	460.31			
300400	劲拓股份	89.28			
300401	花园生物	317.36			
300402	宝色股份	37.54			
300403	地尔汉宇	122.95			
300404	博济医药	223.01			
300405	科隆精化	16.69			
300406	九强生物	679.12			
300407	凯发电气	50.69			
300408	三环集团	333.54			
300409	道氏技术	88.24			
300410	正业科技	112.01			
300411	金盾股份	142.46			
300412	迦南科技	50.88			
300413	快乐购	85.77			
300414	中光防雷	252.91			
300415	伊之密	42.50			
300416	苏试试验	94.87			
300417	南华仪器	408.45			
300418	昆仑万维	55.86			
300419	浩丰科技	52.47			
300420	五洋科技	44.41			
300421	力星股份	195.62			
300422	博世科	13.49			
300423	鲁亿通	156.80			
300424	航新科技	194.28			
300425	环能科技	49.82			
300426	唐德影视	50.63			
300427	红相电力	191.61			
300428	四通新材	438.02			
300429	强力新材	345.89			
300430	诚益通	83.35			
300431	暴风集团	31.14			
300432	富临精工	84.93			
300433	蓝思科技	46.73			
300434	金石东方	291.45			
300435	中泰股份	74.05			
300436	广生堂	254.10			
300437	清水源	88.79			
300438	鹏辉能源	48.05			
300439	美康生物	59.95			
300440	运达科技	47.03			
300441	鲍斯股份	151.18			
300442	普丽盛	47.83			
300443	金雷风电	84.33			
300444	双杰电气	57.01			
300445	康斯特	381.32			
300446	乐凯新材	661.24			
300447	全信股份	78.74			
300448	浩云科技	170.82			
300449	汉邦高科	94.50			
300450	先导智能	79.72			
300451	创业软件	123.61			
300452	山河药辅	160.65			
300453	三鑫医疗	339.08			
300455	康拓红外	141.12			
300456	耐威科技	130.43			
300457	赢合科技	45.37			
300458	全志科技	91.81			
300459	金科娱乐	352.30			
300460	惠伦晶体	97.44			
300461	田中精机	49.83			
300462	华铭智能	177.55			
300463	迈克生物	224.80			
300464	星徽精密	57.48			
300465	高伟达	51.08			
300466	赛摩电气	215.87			
300467	迅游科技	241.57			
300468	四方精创	217.60			
300469	信息发展	73.67			
300470	日机密封	111.13			
300471	厚普股份	25.34			
300472	新元科技	114.99			
300473	德尔股份	78.39			
300474	景嘉微	790.33			
300475	聚隆科技	83.02			
300476	胜宏科技	60.82			
300477	合纵科技	32.96			
300478	杭州高新	245.06			
300479	神思电子	250.78			
300480	光力科技	288.72			
300481	濮阳惠成	559.61			
300482	万孚生物	523.11			
300483	沃施股份	128.18			
300484	蓝海华腾	59.53			
300485	赛升药业	459.85			
300486	东杰智能	53.64			
300487	蓝晓科技	58.01			
300488	恒锋工具	347.10			
300489	中飞股份	87.95			
300490	华自科技	111.37			
300491	通合科技	140.35			
300492	山鼎设计	605.34			
300493	润欣科技	24.45			
300494	盛天网络	740.72			
300495	美尚生态	12.71			
300496	中科创达	104.23			
300497	富祥股份	64.83			
300498	温氏股份	71.89			
300499	高澜股份	46.00			
300500	启迪设计	134.29			
300501	海顺新材	187.56			
300502	新易盛	67.29			
300503	昊志机电	77.24			
300505	川金诺	162.78			
300506	名家汇	192.38			
300507	苏奥传感	143.37			
300508	维宏股份	1083.63			
300509	新美星	39.23			
300510	金冠电气	213.27			
300511	雪榕生物	16.35			
300512	中亚股份	58.76			
300513	恒泰实达	145.11			
300514	友讯达	58.30			
300515	三德科技	332.12			
300516	久之洋	248.12			
300517	海波重科	59.72			
300518	盛讯达	929.46			
300519	新光药业	553.40			
300520	科大国创	67.60			
300521	爱司凯	578.76			
300522	世名科技	941.29			
300523	辰安科技	64.07			
300525	博思软件	434.50			
300526	中潜股份	105.79			
300527	华舟应急	37.38			
300528	幸福蓝海	72.36			
300529	健帆生物	734.72			
300530	达志科技	837.92			
300531	优博讯	151.30			
300532	今天国际	36.23			
300533	冰川网络	235.66			
300534	陇神戎发	187.83			
300535	达威股份	332.11			
300536	农尚环境	77.84			
300537	广信材料	151.26			
300538	同益股份	135.01			
300539	横河模具	63.48			
300540	深冷股份	72.55			
300541	先进数通	70.41			
300542	新晨科技	122.13			
300543	朗科智能	71.85			
300545	联得装备	212.73			
300546	雄帝科技	90.41			
300547	川环科技	119.19			
300548	博创科技	365.42			
300549	优德精密	89.14			
300550	和仁科技	223.57			
300551	古鳌科技	102.89			
300552	万集科技	74.26			
300553	集智股份	636.07			
300554	三超新材	151.69			
300555	路通视信	160.42			
300556	丝路视觉	162.09			
300557	理工光科	148.05			
300558	贝达药业	677.43			
300559	佳发安泰	320.19			
300560	中富通	291.74			
300561	汇金科技	261.18			
300562	乐心医疗	76.74			
300563	神宇股份	111.78			
300565	科信技术	70.45			
300566	激智科技	34.38			
300567	精测电子	180.95			
300568	星源材质	57.95			
300569	天能重工	47.23			
300570	太辰光	324.83			
300571	平治信息	398.58			
300572	安车检测	56.59			
300573	兴齐眼药	92.79			
300575	中旗股份	57.28			
300576	容大感光	183.81			
300577	开润股份	93.11			
300578	会畅通讯	335.54			
300579	数字认证	115.55			
300580	贝斯特	65.17			
300581	晨曦航空	181.38			
300582	英飞特	22.65			
300583	赛托生物	85.87			
300584	海辰药业	152.97			
300585	奥联电子	90.94			
300586	美联新材	162.86			
300587	天铁股份	127.89			
300588	熙菱信息	61.41			
300589	江龙船艇	30.72			
300590	移为通信	163.17			
300591	万里马	48.86			
300592	华凯创意	37.15			
300593	新雷能	74.81			
300595	欧普康视	513.63			
